2020-12-04 02:00:22.602 [cluster-ClusterId{value='5fc8b5275765c757beb67c61', description='null'}-103.100.210.203:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:44, serverValue:30}] to 103.100.210.203:27017
2020-12-04 04:00:51.343 [cluster-ClusterId{value='5fc8b5275765c757beb67c61', description='null'}-103.100.210.203:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:45, serverValue:31}] to 103.100.210.203:27017
2020-12-04 06:11:23.338 [cluster-ClusterId{value='5fc8b5275765c757beb67c61', description='null'}-103.100.210.203:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:46, serverValue:33}] to 103.100.210.203:27017
2020-12-04 06:45:16.377 [cluster-ClusterId{value='5fc8b5275765c757beb67c61', description='null'}-103.100.210.203:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:47, serverValue:35}] to 103.100.210.203:27017
2020-12-04 07:00:18.751 [cluster-ClusterId{value='5fc8b5275765c757beb67c61', description='null'}-103.100.210.203:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:48, serverValue:36}] to 103.100.210.203:27017
2020-12-04 09:26:27.890 [cluster-ClusterId{value='5fc8b5275765c757beb67c61', description='null'}-103.100.210.203:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:49, serverValue:37}] to 103.100.210.203:27017
2020-12-04 09:56:54.940 [Thread-68] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-04 09:56:55.081 [restartedMain] INFO  t.k.p.PaperResourceBackendApplication - Starting PaperResourceBackendApplication on localhost with PID 24371 (/Users/huanchen/Project/out/paper-resource-backend/build/classes/java/main started by huanchen in /Users/huanchen/Project/out/paper-resource-backend)
2020-12-04 09:56:55.082 [restartedMain] INFO  t.k.p.PaperResourceBackendApplication - No active profile set, falling back to default profiles: default
2020-12-04 09:56:55.227 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-12-04 09:56:55.234 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6ms. Found 0 MongoDB repository interfaces.
